"GR","NPHI","RHOB","RT","PHIE"
125.85,0.1988,2.331,1.62,0.1874
125.38,0.1869,2.329,1.67,0.192472
122.22,0.203,2.388,1.68,0.120571
122.48,0.2066,2.352,1.69,0.163445
119.24,0.2052,2.339,1.68,0.177442
119.34,0.2241,2.305,1.65,0.198498
120.15,0.1981,2.281,1.62,0.223231
115.45,0.2039,2.27,1.6,0.22447
118.72,0.2094,2.289,1.6,0.217109
125.41,0.2156,2.291,1.6,0.202699
110.33,0.2226,2.335,1.57,0.167522
111.62,0.2256,2.351,1.57,0.138419
120.73,0.2272,2.383,1.57,0.052365
117.55,0.2189,2.342,1.56,0.163008
117.39,0.2137,2.337,1.56,0.173736
116.64,0.2166,2.324,1.57,0.184878
115.89,0.2209,2.324,1.58,0.181799
123.15,0.2257,2.32,1.59,0.182114
115.51,0.2331,2.336,1.58,0.149298
111.3,0.2294,2.305,1.58,0.195124
108.8,0.2113,2.303,1.58,0.205804
119.93,0.2155,2.326,1.56,0.183643
126.24,0.2337,2.304,1.54,0.19281
119.24,0.2318,2.28,1.53,0.217126
120.45,0.2262,2.282,1.56,0.217689
118.52,0.2006,2.318,1.58,0.197273
116.48,0.2153,2.307,1.62,0.201036
120.6,0.2409,2.295,1.62,0.196409
107.42,0.1932,2.292,1.61,0.216573
106.46,0.2024,2.319,1.59,0.195917
103.94,0.2045,2.315,1.58,0.198431
125.42,0.2221,2.298,1.56,0.205843
135.15,0.225,2.262,1.57,0.141634
121.91,0.2086,2.252,1.58,0.173124
105.91,0.2089,2.283,1.59,0.221635
115.65,0.1981,2.289,1.56,0.21839
113.37,0.2222,2.275,1.54,0.186801
115.38,0.2303,2.253,1.55,0.192244
116.31,0.2039,2.268,1.56,0.231105
113.44,0.1975,2.296,1.55,0.214152
108.43,0.2217,2.307,1.55,0.198024
110.47,0.2133,2.33,1.56,0.18119
100.51,0.2091,2.309,1.58,0.201729
118.36,0.1986,2.336,1.58,0.183347
112.12,0.2029,2.322,1.59,0.193332
107.45,0.2105,2.309,1.56,0.201241
106.21,0.2177,2.27,1.54,0.198282
113.79,0.2258,2.287,1.52,0.213697
112.91,0.241,2.278,1.5,0.214192
108.06,0.2287,2.278,1.48,0.220085
101.15,0.2329,2.271,1.46,0.224308
103.76,0.2423,2.269,1.44,0.221884
108.44,0.2383,2.236,1.45,0.212617
112.86,0.2146,2.231,1.46,0.208233
114.79,0.2402,2.228,1.47,0.203771
119.47,0.2244,2.236,1.46,0.188462
109.48,0.2264,2.259,1.47,0.19943
102.7,0.2348,2.292,1.48,0.204513
122.43,0.2133,2.28,1.5,0.222926
117.23,0.2242,2.292,1.55,0.210125
116.96,0.219,2.307,1.54,0.199422
118.36,0.2081,2.317,1.52,0.19554
115.99,0.1948,2.296,1.5,0.214154
111.82,0.1948,2.267,1.45,0.231712
106.15,0.1989,2.297,1.43,0.213425
122.36,0.2039,2.296,1.41,0.213158
102.84,0.208,2.277,1.4,0.225658
101.65,0.2153,2.272,1.44,0.228373
113.28,0.2266,2.285,1.47,0.21508
102.87,0.213,2.278,1.49,0.224461
109.72,0.2051,2.236,1.5,0.232779
105.55,0.1994,2.213,1.5,0.220404
110.64,0.2137,2.221,1.49,0.204404
114.98,0.2231,2.232,1.48,0.197505
116.13,0.222,2.242,1.48,0.191418
118.04,0.2214,2.261,1.46,0.226082
112.07,0.2172,2.29,1.45,0.214302
98.47,0.2176,2.271,1.39,0.228637
111.43,0.2247,2.228,1.37,0.230305
102.88,0.2146,2.219,1.39,0.24408
109.02,0.2022,2.203,1.39,0.258862
98.69,0.2085,2.202,1.38,0.250211
96.3,0.2158,2.2,1.38,0.231996
96.95,0.2439,2.197,1.38,0.242083
105.02,0.2453,2.196,1.37,0.233993
110.87,0.2311,2.199,1.37,0.218137
101.23,0.2277,2.206,1.38,0.228753
105.03,0.2081,2.197,1.39,0.238859
97.32,0.2106,2.19,1.41,0.232673
93.56,0.2232,2.208,1.42,0.235901
109.34,0.246,2.219,1.46,0.216593
115.26,0.2693,2.223,1.48,0.215945
109.16,0.2689,2.247,1.5,0.222044
119.13,0.2444,2.279,1.52,0.210998
110.59,0.238,2.288,1.53,0.206405
106.42,0.2338,2.272,1.53,0.223169
115.24,0.2027,2.257,1.53,0.237769
106.34,0.1516,2.253,1.51,0.240191
105.79,0.1528,2.262,1.51,0.234742
