"depth","lith","agk","ang","por"
1104.1,"11",0.02735,0.59198,0.04386
1104.2,"11",0.02371,0.58928,0.04504
1104.3,"11",0.01404,0.58165,0.04348
1104.4,"11",0.00346,0.5918,0.04199
1104.5,"11",0.00498,0.60183,0.04194
1104.6,"11",0.01228,0.60223,0.04038
1104.7,"11",0.01831,0.61314,0.03828
1104.8,"11",0.02731,0.62855,0.03857
1104.9,"11",0.03535,0.62633,0.04047
1105,"11",0.03384,0.6125,0.04216
1105.1,"11",0.02743,0.60066,0.04458
1105.2,"11",0.02453,0.58459,0.04721
1105.3,"11",0.02086,0.56807,0.04826
1105.4,"11",0.01209,0.56177,0.04787
1105.5,"11",0.00939,0.56409,0.04801
1105.6,"11",0.01351,0.56326,0.04735
1105.7,"11",0.01508,0.56723,0.04595
1105.8,"11",0.0217,0.57589,0.04579
1105.9,"11",0.03539,0.5769,0.04412
1106,"11",0.04579,0.58762,0.04059
1106.1,"11",0.05118,0.61163,0.03677
1106.2,"11",0.05332,0.6401,0.03294
1106.3,"11",0.04701,0.67181,0.03169
1106.4,"11",0.03158,0.68297,0.03356
1106.5,"11",0.01737,0.66645,0.03485
1106.6,"11",0.01408,0.65555,0.03552
1106.7,"11",0.01917,0.65011,0.03729
1106.8,"11",0.01557,0.6361,0.03684
1106.9,"11",0.01104,0.63956,0.03322
1107,"11",0.02125,0.6694,0.03055
1107.1,"11",0.02865,0.69352,0.02999
1107.2,"11",0.03639,0.6988,0.0296
1107.3,"11",0.05825,0.7026,0.02869
1107.4,"11",0.07633,0.71164,0.02926
1107.5,"11",0.0783,0.70594,0.02973
1107.6,"11",0.06449,0.70132,0.02861
1107.7,"11",0.03718,0.7124,0.02859
1107.8,"11",0.01944,0.71262,0.0299
1107.9,"11",0.01892,0.69969,0.03124
1108,"11",0.02242,0.6871,0.03383
1108.1,"11",0.03677,0.66414,0.03876
1108.2,"11",0.05051,0.62495,0.04278
1108.3,"11",0.04499,0.59646,0.04516
1108.4,"11",0.03846,0.58086,0.04759
1108.5,"11",0.03618,0.56578,0.04768
1108.6,"11",0.02954,0.56526,0.04458
1108.7,"11",0.02837,0.58464,0.04259
1108.8,"11",0.03287,0.5978,0.04197
1108.9,"11",0.03057,0.60198,0.04077
1109,"11",0.02758,0.61035,0.04112
1109.1,"11",0.03071,0.6079,0.04367
1109.2,"11",0.02586,0.59058,0.04497
1109.3,"11",0.01396,0.58207,0.04332
1109.4,"11",0.00992,0.59286,0.04129
1109.5,"11",0.00737,0.60669,0.03981
1109.6,"11",0,0.6172,0.03743
1109.7,"11",0,0.635,0.03628
1109.8,"11",0.00637,0.64396,0.03772
1109.9,"11",0.0072,0.63272,0.03827
1110,"11",0.00459,0.62859,0.03756
1110.1,"11",0.0066,0.63397,0.03799
1110.2,"11",0.00521,0.63073,0.03731
1110.3,"11",0,0.63587,0.03429
1110.4,"11",0,0.6602,0.03221
1110.5,"11",0.00331,0.67826,0.03266
1110.6,"11",0.00886,0.67423,0.03324
1110.7,"11",0.02241,0.66923,0.03148
1110.8,"11",0.03016,0.6849,0.03013
1110.9,"11",0.02605,0.69751,0.02913
1111,"11",0.01808,0.70724,0.02667
1111.1,"11",0.00546,0.73267,0.02451
1111.2,"11",0.00417,0.75692,0.02427
1111.3,"11",0.02017,0.75977,0.02644
1111.4,"11",0.03481,0.73511,0.03073
1111.5,"11",0.04701,0.69185,0.03413
1111.6,"11",0.05049,0.66161,0.03574
1111.7,"11",0.03258,0.64826,0.03698
1111.8,"11",0.01691,0.63844,0.03576
1111.9,"11",0.01348,0.64815,0.03477
1112,"11",0.00655,0.65626,0.03701
1112.1,"11",0.00652,0.63821,0.03901
1112.2,"11",0.01132,0.62305,0.03992
1112.3,"11",0.00344,0.6164,0.04378
1112.4,"11",0,0.58982,0.04769
1112.5,"11",0,0.56518,0.04573
1112.6,"11",0,0.57728,0.04305
1112.7,"11",0,0.59466,0.04412
1112.8,"11",0,0.58758,0.04334
1112.9,"11",0,0.59274,0.0423
1113,"11",0,0.59977,0.04641
1113.1,"11",0,0.57299,0.05001
1113.2,"11",0,0.55147,0.04854
1113.3,"11",0.00012,0.56007,0.04554
1113.4,"11",0.00157,0.57847,0.04063
1113.5,"11",0,0.61134,0.03558
1113.6,"11",0,0.64958,0.03384
1113.7,"11",0,0.66406,0.03177
1113.8,"11",0.00406,0.6822,0.02897
1113.9,"11",0.01526,0.70877,0.02886
1114,"11",0.01876,0.70989,0.02991
1114.1,"11",0.01224,0.69965,0.02985
1114.2,"11",0.0041,0.70018,0.03107
1114.3,"11",0,0.68861,0.03435
1114.4,"11",0,0.6597,0.03553
1114.5,"11",0,0.65002,0.03489
1114.6,"11",0,0.65523,0.0352
1114.7,"11",0,0.65267,0.03485
1114.8,"11",0,0.65553,0.03294
1114.9,"11",0.00892,0.6718,0.03166
1115,"11",0.00429,0.68326,0.03095
1115.1,"11",0.00204,0.68975,0.03028
1115.2,"11",0.00739,0.69605,0.03073
1115.3,"11",0.00221,0.69179,0.03059
1115.4,"11",0,0.69317,0.0287
1115.5,"11",0,0.71146,0.02786
1115.6,"11",0,0.72009,0.0278
1115.7,"11",0.00247,0.72065,0.02626
1115.8,"11",0.00416,0.73714,0.02507
1115.9,"11",0.00336,0.7505,0.02532
1116,"11",0.00233,0.74759,0.02486
1116.1,"11",0.00345,0.7529,0.0227
1116.2,"11",0.00445,0.77906,0.02134
1116.3,"11",0.00492,0.79691,0.02132
1116.4,"11",0.0049,0.79721,0.02103
1116.5,"11",0.00348,0.80116,0.0215
1116.6,"11",0.00255,0.79469,0.02384
1116.7,"11",0.00296,0.76502,0.0259
1116.8,"11",0.00375,0.74111,0.02666
1116.9,"11",0.00551,0.7327,0.02744
1117,"11",0.0076,0.72446,0.02699
1117.1,"11",0.00828,0.72923,0.02491
1117.2,"11",0.00811,0.75234,0.02352
1117.3,"11",0.00775,0.76888,0.02429
1117.4,"11",0.00721,0.75953,0.02581
1117.5,"11",0.00675,0.74213,0.02573
1117.6,"11",0.00627,0.74297,0.02549
1117.7,"11",0.00588,0.74563,0.02661
1117.8,"11",0.00473,0.73333,0.02645
1117.9,"11",0.00336,0.73498,0.02454
1118,"11",0.00229,0.75664,0.02353
1118.1,"11",0.00111,0.76878,0.02402
1118.2,"11",0.00149,0.7628,0.02417
1118.3,"11",0.0037,0.76096,0.02273
1118.4,"11",0.00678,0.77871,0.02122
1118.5,"11",0.01058,0.79846,0.02104
1118.6,"11",0.0094,0.80101,0.02067
1118.7,"11",0.00349,0.80607,0.01903
1118.8,"11",0.00163,0.82997,0.01788
1118.9,"11",0.00181,0.84787,0.01753
1119,"11",0.00502,0.85355,0.01661
1119.1,"11",0.01549,0.86906,0.01486
1119.2,"11",0.02441,0.90119,0.01365
1119.3,"11",0.02579,0.92555,0.0132
1119.4,"11",0.02131,0.9353,0.01277
1119.5,"11",0.01011,0.94482,0.01286
1119.6,"11",0.00116,0.94272,0.0138
1119.7,"11",0,0.92244,0.01483
1119.8,"11",0,0.90164,0.01554
1119.9,"11",0,0.8883,0.01516
1120,"11",0.00058,0.89545,0.01366
1120.1,"11",0,0.92552,0.01209
1120.2,"11",0,0.96064,0.01093
1120.3,"11",0,0.98963,0.01068
1120.4,"11",0,0.99636,0.01168
1120.5,"11",0,0.97041,0.01276
1120.6,"11",0,0.94511,0.01362
1120.7,"11",0,0.92622,0.01462
1120.8,"11",0,0.90593,0.01472
1120.9,"11",0,0.90398,0.01445
1121,"11",0,0.90914,0.01492
1121.1,"11",0,0.90006,0.01697
1121.2,"11",0,0.86298,0.02019
1121.3,"11",0,0.81287,0.02297
1121.4,"11",0.00012,0.77562,0.02515
1121.5,"11",0.00779,0.74959,0.0256
1121.6,"11",0.01502,0.74439,0.02303
1121.7,"11",0.01581,0.77499,0.02099
1121.8,"11",0.00863,0.80162,0.02059
1121.9,"11",0,0.80718,0.0204
1122,"11",0,0.8099,0.02153
1122.1,"11",0,0.79437,0.0228
1122.2,"11",0,0.77784,0.0221
1122.3,"11",0.00437,0.78684,0.02121
1122.4,"11",0.01608,0.79865,0.02075
1122.5,"11",0.02273,0.80492,0.02027
1122.6,"11",0.02272,0.81169,0.02053
1122.7,"11",0.01547,0.80804,0.02186
1122.8,"11",0.00773,0.78993,0.02297
